prompt_id,prompt_family,repetition_index,token_count,latency_ms,decision,g_score,g_final,v_score,delta_g,stability_score,coherence_score,semantic_risk,factual_hallucination_score,semantic_instability_score,information_density,error,baromètre,modèle
NM-WEEKLY-Q01,reasoning_simple,46,352.0,25234.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5783,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,47,380.0,25643.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.571,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,48,349.0,25303.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5732,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,49,363.0,25324.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5951,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,50,350.0,25352.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5854,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,51,333.0,25401.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5953,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,52,362.0,25294.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5837,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,53,347.0,25334.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5857,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,54,348.0,25229.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5863,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,55,354.0,25185.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5808,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,56,380.0,25524.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.59,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,57,362.0,25400.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5981,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,58,350.0,25188.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5716,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,59,326.0,24948.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5903,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,60,347.0,25210.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5857,,baromètre1,anthropic_claude-sonnet-4-5-20250929
NM-WEEKLY-Q01,reasoning_simple,61,359.0,25886.0,ALLOW,0.6,0.969231,1.0,0.0,0.923077,1.0,0.0,0.0,0.0,0.5949,,baromètre1,anthropic_claude-sonnet-4-5-20250929
