baromètre,modèle,fichier,nombre_erreurs,nombre_lignes
baromètre7,together_meta-llama_Llama-3.3-70B-Instruct-Turbo,data\baromètre7\together_meta-llama_Llama-3.3-70B-Instruct-Turbo_weekly_baseline_d1_20260729T110916Z_results.csv,0,400
baromètre7,xai_grok-4,data\baromètre7\xai_grok-4_weekly_baseline_d1_20260729T110917Z_results.csv,0,400
baromètre8,anthropic_claude-sonnet-4-5-20250929,data\baromètre8\anthropic_claude-sonnet-4-5-20250929_barometre_08_20260806T151924Z_results.csv,0,400
baromètre8,cohere_command-a-03-2025,data\baromètre8\cohere_command-a-03-2025_barometre_08_20260806T151924Z_results.csv,0,400
baromètre8,deepseek_deepseek-chat,data\baromètre8\deepseek_deepseek-chat_barometre_08_20260806T151924Z_results.csv,0,400
baromètre8,google_gemini-2.5-flash,data\baromètre8\google_gemini-2.5-flash_barometre_08_20260806T151924Z_results.csv,0,400
baromètre8,infomaniak_mistralai_Mistral-Small-4-119B-2603,data\baromètre8\infomaniak_mistralai_Mistral-Small-4-119B-2603_barometre_08_20260806T151924Z_results.csv,0,400
baromètre8,infomaniak_swiss-ai_Apertus-70B-Instruct-2509,data\baromètre8\infomaniak_swiss-ai_Apertus-70B-Instruct-2509_barometre_08_20260806T151924Z_results.csv,0,400
baromètre8,mistral_mistral-large-latest,data\baromètre8\mistral_mistral-large-latest_barometre_08_20260806T151924Z_results.csv,0,400
baromètre8,openai_gpt-4o-2024-11-20,data\baromètre8\openai_gpt-4o-2024-11-20_barometre_08_20260806T151925Z_results.csv,0,400
baromètre8,perplexity_sonar,data\baromètre8\perplexity_sonar_barometre_08_20260806T151925Z_results.csv,0,400
baromètre8,qwen_qwen-plus,data\baromètre8\qwen_qwen-plus_barometre_08_20260806T151925Z_results.csv,0,400
baromètre8,together_meta-llama_Llama-3.3-70B-Instruct-Turbo,data\baromètre8\together_meta-llama_Llama-3.3-70B-Instruct-Turbo_barometre_08_20260806T151925Z_results.csv,0,400
baromètre8,xai_grok-4,data\baromètre8\xai_grok-4_barometre_08_20260806T151925Z_results.csv,108,400
